InitialState [-0,+1,+2,+3,+4,+6,+7,-8,+9,+10,+11,+12,+13,+14,+15,-16,+17,+18,+19,-20,+21,-22,+23,+24,+25,-26,+27,+28,+29,-30,+31,+32,+33,-34,+35,+36,+37,-38,+39,+40,+41,+42,+43,-44,+45,+46,+47,+48,-49,+50,+51,-52,+53,+54,+55,+56,+57,+58,-59,-60,-61,-62,+63,+64,+65,+66,+67,+68,-69,-70,+71,-72,+73,-74,+75,+76,+77,+78,-79,-80,+81,+82,+83,+84,+85,+86,+87,-88,-89,+90,-91,-92,+93,-94,-95,+96,+97,+98,-99,+100,+101,+102,+103,+104,+105,+106,+107,-108,+109,-110,+111,+112,-113,+114,+115,+116,+117,+118,+119,-120]

GoalState [-56,-57,-58,-59,-60,-61,-62,-63,-64,-65]

Act [Move(1-->0)]
Preconditions [-0]
Effects [+0,-1]

Act [Move(1-->2)]
Preconditions [-2]
Effects [+2,-1]

Act [Move(1-->12)]
Preconditions [-12]
Effects [+12,-1]

Act [Move(2-->1)]
Preconditions [-1]
Effects [+1,-2]

Act [Move(2-->3)]
Preconditions [-3]
Effects [+3,-2]

Act [Move(2-->13)]
Preconditions [-13]
Effects [+13,-2]

Act [Move(3-->2)]
Preconditions [-2]
Effects [+2,-3]

Act [Move(3-->4)]
Preconditions [-4]
Effects [+4,-3]

Act [Move(3-->14)]
Preconditions [-14]
Effects [+14,-3]

Act [Move(4-->3)]
Preconditions [-3]
Effects [+3,-4]

Act [Move(4-->5)]
Preconditions [-5]
Effects [+5,-4]

Act [Move(4-->15)]
Preconditions [-15]
Effects [+15,-4]

Act [Move(6-->5)]
Preconditions [-5]
Effects [+5,-6]

Act [Move(6-->7)]
Preconditions [-7]
Effects [+7,-6]

Act [Move(6-->17)]
Preconditions [-17]
Effects [+17,-6]

Act [Move(7-->6)]
Preconditions [-6]
Effects [+6,-7]

Act [Move(7-->8)]
Preconditions [-8]
Effects [+8,-7]

Act [Move(7-->18)]
Preconditions [-18]
Effects [+18,-7]

Act [Move(9-->8)]
Preconditions [-8]
Effects [+8,-9]

Act [Move(9-->10)]
Preconditions [-10]
Effects [+10,-9]

Act [Move(9-->20)]
Preconditions [-20]
Effects [+20,-9]

Act [Move(10-->9)]
Preconditions [-9]
Effects [+9,-10]

Act [Move(10-->21)]
Preconditions [-21]
Effects [+21,-10]

Act [Move(11-->12)]
Preconditions [-12]
Effects [+12,-11]

Act [Move(11-->0)]
Preconditions [-0]
Effects [+0,-11]

Act [Move(11-->22)]
Preconditions [-22]
Effects [+22,-11]

Act [Move(12-->11)]
Preconditions [-11]
Effects [+11,-12]

Act [Move(12-->13)]
Preconditions [-13]
Effects [+13,-12]

Act [Move(12-->1)]
Preconditions [-1]
Effects [+1,-12]

Act [Move(12-->23)]
Preconditions [-23]
Effects [+23,-12]

Act [Move(13-->12)]
Preconditions [-12]
Effects [+12,-13]

Act [Move(13-->14)]
Preconditions [-14]
Effects [+14,-13]

Act [Move(13-->2)]
Preconditions [-2]
Effects [+2,-13]

Act [Move(13-->24)]
Preconditions [-24]
Effects [+24,-13]

Act [Move(14-->13)]
Preconditions [-13]
Effects [+13,-14]

Act [Move(14-->15)]
Preconditions [-15]
Effects [+15,-14]

Act [Move(14-->3)]
Preconditions [-3]
Effects [+3,-14]

Act [Move(14-->25)]
Preconditions [-25]
Effects [+25,-14]

Act [Move(15-->14)]
Preconditions [-14]
Effects [+14,-15]

Act [Move(15-->16)]
Preconditions [-16]
Effects [+16,-15]

Act [Move(15-->4)]
Preconditions [-4]
Effects [+4,-15]

Act [Move(15-->26)]
Preconditions [-26]
Effects [+26,-15]

Act [Move(17-->16)]
Preconditions [-16]
Effects [+16,-17]

Act [Move(17-->18)]
Preconditions [-18]
Effects [+18,-17]

Act [Move(17-->6)]
Preconditions [-6]
Effects [+6,-17]

Act [Move(17-->28)]
Preconditions [-28]
Effects [+28,-17]

Act [Move(18-->17)]
Preconditions [-17]
Effects [+17,-18]

Act [Move(18-->19)]
Preconditions [-19]
Effects [+19,-18]

Act [Move(18-->7)]
Preconditions [-7]
Effects [+7,-18]

Act [Move(18-->29)]
Preconditions [-29]
Effects [+29,-18]

Act [Move(19-->18)]
Preconditions [-18]
Effects [+18,-19]

Act [Move(19-->20)]
Preconditions [-20]
Effects [+20,-19]

Act [Move(19-->8)]
Preconditions [-8]
Effects [+8,-19]

Act [Move(19-->30)]
Preconditions [-30]
Effects [+30,-19]

Act [Move(21-->20)]
Preconditions [-20]
Effects [+20,-21]

Act [Move(21-->10)]
Preconditions [-10]
Effects [+10,-21]

Act [Move(21-->32)]
Preconditions [-32]
Effects [+32,-21]

Act [Move(23-->22)]
Preconditions [-22]
Effects [+22,-23]

Act [Move(23-->24)]
Preconditions [-24]
Effects [+24,-23]

Act [Move(23-->12)]
